# created by swatp-ghg
date        ch4_obd            ch4prods          ch4eps            ch4ebls            ch4e_tot          cont       
2022-08-01   2.5842000000E-01  1.2845806574E+00  6.6851595235E-01   1.7193811742E-03  6.7023533352E-01  irr_4wk    
2022-08-04   3.1526000000E-01  1.4493907011E+00  7.5428568792E-01   1.9406940369E-03  7.5622638196E-01  irr_4wk    
2022-08-05   3.2500000000E-01  1.3275721787E+00  6.9088941530E-01   1.7771117374E-03  6.9266652704E-01  irr_4wk    
2022-08-09   3.8562000000E-01  1.3871433420E+00  7.2189118443E-01   1.8571060411E-03  7.2374829047E-01  irr_4wk    
2022-08-12   3.2940000000E-01  1.2027339302E+00  6.2592162983E-01   1.6094744409E-03  6.2753110427E-01  irr_4wk    
2022-08-16   4.3418000000E-01  1.2566968161E+00  6.5400476334E-01   1.6819377478E-03  6.5568670109E-01  irr_4wk    
2022-08-19   3.9471000000E-01  1.1766288322E+00  6.1233612680E-01   1.5744195752E-03  6.1391054638E-01  irr_4wk    
2022-08-23   3.6503000000E-01  1.1896096835E+00  6.1909156569E-01   1.5918507298E-03  6.2068341642E-01  irr_4wk    
2022-08-26   3.0261000000E-01  1.2027339302E+00  6.2592162983E-01   1.6094744409E-03  6.2753110427E-01  irr_4wk    
2022-08-30   2.7617000000E-01  7.8413256712E-01  4.0807490510E-01   1.0473614537E-03  4.0912226655E-01  irr_4wk    
2022-09-02   2.5747000000E-01  7.1828716944E-01  3.7380792585E-01   9.5894188206E-04  3.7476686773E-01  irr_4wk    
2022-09-07   3.5782000000E-01  7.6712477114E-01  3.9922378092E-01   1.0245227726E-03  4.0024830369E-01  irr_4wk    
2022-09-16   2.9929000000E-01  8.5602697734E-01  4.4548988550E-01   1.1439038572E-03  4.4663378935E-01  irr_4wk    
2022-09-19   3.8585000000E-01  8.2832349837E-01  4.3107255987E-01   1.1067026278E-03  4.3217926250E-01  irr_4wk    
